Domain,Category,Status,Discovery_Date
www.tua.jo,other,active,2026-03-11T01:20:04.849637
www.alfarah.jo,other,active,2026-03-11T01:20:04.849637
www.triangle.jo,other,active,2026-03-11T01:20:04.849637
app.naitel.jo,other,active,2026-03-11T01:20:04.849637
portal.jordan.gov.jo,gov,active,2026-03-11T01:20:04.849637
www.naitel.jo,other,active,2026-03-11T01:20:04.849637
dev.35d.jo,other,active,2026-03-11T01:20:04.849637
dashboard.naitel.jo,other,active,2026-03-11T01:20:04.849637
status.35d.jo,other,active,2026-03-11T01:20:04.849637
submissions.aiff.jo,other,active,2026-03-11T01:20:04.849637
login.35d.jo,other,active,2026-03-11T01:20:04.849637
static.35d.jo,other,active,2026-03-11T01:20:04.849637
mail.24online.jo,other,active,2026-03-11T01:20:04.849637
cdn.35d.jo,other,active,2026-03-11T01:20:04.849637
webmail.naitel.jo,other,active,2026-03-11T01:20:04.849637
www.24online.jo,other,active,2026-03-11T01:20:04.849637
www.aut.edu.jo,edu,active,2026-03-11T01:20:04.849637
100.jo,other,active,2026-03-11T01:20:04.849637
www.es.jo,other,active,2026-03-11T01:20:04.849637
analytics.35d.jo,other,active,2026-03-11T01:20:04.849637
naitel.jo,other,active,2026-03-11T01:20:04.849637
www.alamanfund.jo,other,active,2026-03-11T01:20:04.849637
admin.naitel.jo,other,active,2026-03-11T01:20:04.849637
www.ahliclub.jo,other,active,2026-03-11T01:20:04.849637
help.35d.jo,other,active,2026-03-11T01:20:04.849637
blog.35d.jo,other,active,2026-03-11T01:20:04.849637
forum.35d.jo,other,active,2026-03-11T01:20:04.849637
aliftaa.jo,other,active,2026-03-11T01:20:04.849637
cdn.naitel.jo,other,active,2026-03-11T01:20:04.849637
alhusseinvolunteeraward.jo,other,active,2026-03-11T01:20:04.849637
www.ajyc.jo,other,active,2026-03-11T01:20:04.849637
cpanel.35d.jo,other,active,2026-03-11T01:20:04.849637
dev.es.jo,other,active,2026-03-11T01:20:04.849637
tracking.naitel.jo,other,active,2026-03-11T01:20:04.849637
www.aliftaa.jo,other,active,2026-03-11T01:20:04.849637
admin.afia.jo,other,active,2026-03-11T01:20:04.849637
mail.afia.jo,other,active,2026-03-11T01:20:04.849637
media.naitel.jo,other,active,2026-03-11T01:20:04.849637
staging.naitel.jo,other,active,2026-03-11T01:20:04.849637
api.naitel.jo,other,active,2026-03-11T01:20:04.849637
35d.jo,other,active,2026-03-11T01:20:04.849637
www.aiff.jo,other,active,2026-03-11T01:20:04.849637
portal.35d.jo,other,active,2026-03-11T01:20:04.849637
alessami.jo,other,active,2026-03-11T01:20:04.849637
docs.35d.jo,other,active,2026-03-11T01:20:04.849637
media.action.jo,other,active,2026-03-11T01:20:04.849637
mail.abdin.jo,other,active,2026-03-11T01:20:04.849637
www.ayla.com.jo,com,active,2026-03-11T01:20:04.849637
www.aqabais.edu.jo,edu,active,2026-03-11T01:20:04.849637
www.adh.jo,other,active,2026-03-11T01:20:04.849637
al-attar.jo,other,active,2026-03-11T01:20:04.849637
tracking.35d.jo,other,active,2026-03-11T01:20:04.851128
store.naitel.jo,other,active,2026-03-11T01:20:04.851128
webmail.abdin.jo,other,active,2026-03-11T01:20:04.851128
media.35d.jo,other,active,2026-03-11T01:20:04.851128
download.naitel.jo,other,active,2026-03-11T01:20:04.851128
www.afia.jo,other,active,2026-03-11T01:20:04.851128
www.akeed.jo,other,active,2026-03-11T01:20:04.851128
mail.aliftaa.jo,other,active,2026-03-11T01:20:04.851128
aiff.jo,other,active,2026-03-11T01:20:04.851128
login.naitel.jo,other,active,2026-03-11T01:20:04.851128
mail.rhc.jo,other,active,2026-03-11T01:20:04.851128
